Institución de Educación Superior (IES);Sector IES;Caracter IES;"Municipio de
domicilio de la IES";"Sexo del
Docente";"Máximo nivel de formación
del docente";"Tiempo de dedicación
del Docente";AÑO;Semestre;No. de Docentes
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Catedra;2019;1;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Catedra;2019;2;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Medio Tiempo;2019;1;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Medio Tiempo;2019;2;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Tiempo Completo o Exclusiva;2019;1;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Tiempo Completo o Exclusiva;2019;2;13
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Tiempo Completo o Exclusiva;2019;1;96
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Tiempo Completo o Exclusiva;2019;2;96
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Catedra;2019;1;184
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Catedra;2019;2;222
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Medio Tiempo;2019;1;39
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Medio Tiempo;2019;2;39
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Medio Tiempo;2019;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Medio Tiempo;2019;2;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Tiempo Completo o Exclusiva;2019;1;65
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Tiempo Completo o Exclusiva;2019;2;67
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Tiempo Completo o Exclusiva;2019;1;102
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Tiempo Completo o Exclusiva;2019;2;96
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN UNIVERSITARIA;Catedra;2019;1;95
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN UNIVERSITARIA;Catedra;2019;2;85
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN UNIVERSITARIA;Medio Tiempo;2019;1;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN UNIVERSITARIA;Medio Tiempo;2019;2;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN UNIVERSITARIA;Tiempo Completo o Exclusiva;2019;1;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN UNIVERSITARIA;Tiempo Completo o Exclusiva;2019;2;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN UNIVERSITARIA;Tiempo Completo o Exclusiva;2019;1;13
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN UNIVERSITARIA;Tiempo Completo o Exclusiva;2019;2;13
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;UNIVERSITARIA;Catedra;2019;1;216
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;UNIVERSITARIA;Catedra;2019;2;188
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;UNIVERSITARIA;Medio Tiempo;2019;1;11
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;UNIVERSITARIA;Medio Tiempo;2019;2;9
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;UNIVERSITARIA;Tiempo Completo o Exclusiva;2019;1;11
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;UNIVERSITARIA;Tiempo Completo o Exclusiva;2019;2;12
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;UNIVERSITARIA;Tiempo Completo o Exclusiva;2019;1;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;UNIVERSITARIA;Tiempo Completo o Exclusiva;2019;2;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;TECNOLÓGICA;Catedra;2019;1;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;TECNOLÓGICA;Catedra;2019;2;8
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCENTE SIN TÍTULO;Catedra;2019;1;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCENTE SIN TÍTULO;Catedra;2019;2;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCENTE SIN TÍTULO;Medio Tiempo;2019;2;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCENTE SIN TÍTULO;Tiempo Completo o Exclusiva;2019;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;DOCENTE SIN TÍTULO;Tiempo Completo o Exclusiva;2019;2;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN MÉDICO QUIRÚRGICA;Catedra;2019;1;34
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN MÉDICO QUIRÚRGICA;Catedra;2019;2;26
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN MÉDICO QUIRÚRGICA;Medio Tiempo;2019;1;9
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN MÉDICO QUIRÚRGICA;Medio Tiempo;2019;2;11
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN MÉDICO QUIRÚRGICA;Medio Tiempo;2019;1;15
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN MÉDICO QUIRÚRGICA;Medio Tiempo;2019;2;15
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN MÉDICO QUIRÚRGICA;Tiempo Completo o Exclusiva;2019;1;6
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;HOMBRE;ESPECIALIZACIÓN MÉDICO QUIRÚRGICA;Tiempo Completo o Exclusiva;2019;2;6
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Catedra;2019;1;1
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Catedra;2019;1;2
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Catedra;2019;2;1
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Medio Tiempo;2019;1;3
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Medio Tiempo;2019;2;3
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Medio Tiempo;2019;1;2
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Medio Tiempo;2019;2;2
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Tiempo Completo o Exclusiva;2019;1;6
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Tiempo Completo o Exclusiva;2019;2;5
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Tiempo Completo o Exclusiva;2019;1;1
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;DOCTORADO;Tiempo Completo o Exclusiva;2019;2;1
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Catedra;2019;1;33
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Catedra;2019;2;33
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;HOMBRE;MAESTRÍA;Catedra;2019;1;7
