INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);SECTOR IES;CARACTER IES;MUNICIPIO DE DOMICILIO DE LA IES;PROGRAMA ACADÉMICO;ÁREA DE CONOCIMIENTO;METODOLOGIA;SEXO;AÑO;SEMESTRE;MATRICULADOS 
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRONICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;7
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNICO PROFESIONAL EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;19
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;SANTA ROSA DE CABAL;BIOLOGIA;MATEMÁTICAS Y CIENCIAS NATURALES;PRESENCIAL;MUJER;2019;2;7
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;SANTA ROSA DE CABAL;INGENIERIA DE SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;5
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;INSTITUCIÓN TÉCNICA PROFESIONAL;PEREIRA;TÉCNICA PROFESIONAL EN PROGRAMACIÓN DE SOFTWARE;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;7
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;INSTITUCIÓN TÉCNICA PROFESIONAL;PEREIRA;TÉCNICA PROFESIONAL EN DESARROLLO DE APLICACIONES PARA MÓVILES;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;48
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA FISICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;8
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA FINANCIERA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;4
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA FINANCIERA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;9
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;ENFERMERIA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;1;22
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS Y TELECOMUNICACIONES;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;4
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;ODONTOLOGÍA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;2;13
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;TERAPIA RESPIRATORIA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;2;8
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;FISIOTERAPIA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;1;7
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;SANTA ROSA DE CABAL;TECNOLOGIA EN COMPUTACION;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;1
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;SANTA ROSA DE CABAL;INGENIERIA DE SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;96
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;21
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;46
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;MEDICINA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;2;14
