INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);SECTOR IES;CARACTER IES;MUNICIPIO DE DOMICILIO DE LA IES;PROGRAMA ACADÉMICO;ÁREA DE CONOCIMIENTO;SEXO;AÑO;SEMESTRE;MATRICULADOS 
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;278
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;273
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;273
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;280
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;288
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;221
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;42
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;34
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA QUIMICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;112
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA QUIMICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;95
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA QUIMICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;149
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA QUIMICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;126
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;MEDICINA;CIENCIAS DE LA SALUD;HOMBRE;2019;1;293
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;MEDICINA;CIENCIAS DE LA SALUD;HOMBRE;2019;2;292
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;MEDICINA;CIENCIAS DE LA SALUD;MUJER;2019;1;373
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;MEDICINA;CIENCIAS DE LA SALUD;MUJER;2019;2;365
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;928
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;909
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;145
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;147
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;797
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;770
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;164
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;159
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;1016
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;977
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;877
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;872
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;776
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;774
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;88
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;95
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA FISICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;218
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA FISICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;220
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA FISICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;132
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA FISICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;129
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;QUIMICA INDUSTRIAL;MATEMÁTICAS Y CIENCIAS NATURALES;HOMBRE;2019;1;142
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;QUIMICA INDUSTRIAL;MATEMÁTICAS Y CIENCIAS NATURALES;HOMBRE;2019;2;141
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;QUIMICA INDUSTRIAL;MATEMÁTICAS Y CIENCIAS NATURALES;MUJER;2019;1;232
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;QUIMICA INDUSTRIAL;MATEMÁTICAS Y CIENCIAS NATURALES;MUJER;2019;2;267
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRONICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;240
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRONICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;226
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRONICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;38
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRONICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;34
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;67
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;61
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;5
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;93
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;85
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;9
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;14
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNICO PROFESIONAL EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;320
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNICO PROFESIONAL EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;293
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNICO PROFESIONAL EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;32
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNICO PROFESIONAL EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;29
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;CIENCIAS DE LA SALUD;HOMBRE;2019;1;58
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;CIENCIAS DE LA SALUD;HOMBRE;2019;2;59
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;CIENCIAS DE LA SALUD;MUJER;2019;1;121
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;CIENCIAS DE LA SALUD;MUJER;2019;2;129
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;302
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;302
